 ,Folio,datenpunkt_id,typ,name,rolle,anmerkung
UAKUG/NIM_023,6,,person,"Stravinsky, Igor",Komponist:in,
UAKUG/NIM_023,6,,Datum,1953-07-03,Aufführung,
UAKUG/NIM_023,6,,einnahmen_währung,"800, DM",Gesamtvergütung,
UAKUG/NIM_023,6,,ort,München,auffuehrungsort,
UAKUG/NIM_023,6,,institution,Musica viva,veranstalter:in,
UAKUG/NIM_023,6,,werk,Les Noces,Aufführung,
UAKUG/NIM_023,7,,ort,Köln,vertragsort,
UAKUG/NIM_023,7,,person,"Malaniuk, Ira",vertragspartner:in,
UAKUG/NIM_023,7,,person,"Wilhelm, Rolf Alexander",unterzeichner:in,
UAKUG/NIM_023,7,,Datum,1952-10-24,absendedatum,
UAKUG/NIM_023,7,,Datum,1953-03-19/1953-03-24,Aufnahmedatum,
UAKUG/NIM_023,7,,ort,München,wohnort,
UAKUG/NIM_023,7,,institution,Nordwestdeutscher Rundfunk,Absender:in,
UAKUG/NIM_023,7,,werk,Der Troubadour,Aufnahme,
UAKUG/NIM_023,7,,rolle,Azucena,Aufführung,
UAKUG/NIM_023,7,,einnahmen_währung,"1.200, DM",Gesamtvergütung,
UAKUG/NIM_023,7,,einnahmen_währung,"151, DM",Reisekosten,
UAKUG/NIM_023,7,,einnahmen_währung,"1.351, DM",Gesamtvergütung,
UAKUG/NIM_023,8,,person,"Malaniuk, Ira",vertragspartner:in,
UAKUG/NIM_023,8,,person,"Wilhelm, Rolf Alexander",unterzeichner:in,
UAKUG/NIM_023,8,,Datum,1953-05-12,absendedatum,
UAKUG/NIM_023,8,,Datum,1953-05-20/1953-05-22,Aufnahmedatum,nachaufnahme
UAKUG/NIM_023,8,,einnahmen_währung,"800, DM",Gesamtvergütung,
UAKUG/NIM_023,8,,einnahmen_währung,"153,DM",Reisekosten,
UAKUG/NIM_023,8,,einnahmen_währung,"953, DM",Gesamtvergütung,
UAKUG/NIM_023,8,,institution,Nordwestdeutscher Rundfunk,veranstalter:in,
UAKUG/NIM_023,8,,werk,Der Troubadour,Aufnahme,
UAKUG/NIM_023,8,,rolle,Azucena,Aufführung,
UAKUG/NIM_023,8,,ort,München,vertragsort,"Osserstr. 28, "
UAKUG/NIM_023,9,,person,"Malaniuk, Ira",vertragspartner:in,
UAKUG/NIM_023,8,,ort,Köln,vertragsort,
UAKUG/NIM_023,9,,Datum,1953-07-02,absendedatum,
UAKUG/NIM_023,9,,Datum,1953-07-02,Generalprobe,
UAKUG/NIM_023,9,,Datum,1953-07-03,Aufnahmedatum,
UAKUG/NIM_023,9,,ort,München,vertragsort,"Ottostr. 28/1, Anschrift Malaniuk"
UAKUG/NIM_023,9,,institution,Bayrischer Rundfunk,veranstalter:in,
UAKUG/NIM_023,9,,institution,Viva Musica,veranstalter:in,
UAKUG/NIM_023,9,,rolle,Alt,Aufführung,
UAKUG/NIM_023,9,,ereignis,10. Musica-Viva-Konzert,Aufnahme,
UAKUG/NIM_023,9,,einnahmen_währung,"800, DM",Gesamtvergütung,
,,,,,,
,,,,,,
UAKUG/NIM_023,10,,ort,Hamburg,vertragsort,
UAKUG/NIM_023,10,,person,"Malaniuk, Ira",vertragspartner:in,
UAKUG/NIM_023,10,,Datum,1953-01-20/1953-01-25,Aufnahmedatum,
UAKUG/NIM_023,10,,Datum,1953-01-05,absendedatum,
UAKUG/NIM_023,10,,ort,München,vertragsort,Bayrische Staatsoper
UAKUG/NIM_023,10,,institution,Bayrische Staatoper,erwähnt,
UAKUG/NIM_023,10,,institution,Nordwestdeutscher Rundfunk,veranstalter:in,
UAKUG/NIM_023,10,,werk,cosi fan tutte,Aufnahme,
UAKUG/NIM_023,10,,rolle,Dorabella,Aufführung,
UAKUG/NIM_023,10,,einnahmen_währung,"1500, DM",Gesamtvergütung,
UAKUG/NIM_023,10,,einnahmen_währung,"174, DM",Reisekosten,
UAKUG/NIM_023,10,,summe_währung,"1674, DM",summe,
,,,,,,
UAKUG/NIM_023,11,,person,"Malaiuk, Ira",vertragspartner:in,Vertrag nicht eingehalten
UAKUG/NIM_023,11,,institution,Théâtre municipal de Lausanne,veranstalter:in,Vertrag nicht eingehalten
UAKUG/NIM_023,11,1,Datum,1953-02-20,absendedatum,Vertrag nicht eingehalten
UAKUG/NIM_023,11,1,Datum,1953-05-19,Aufführung,Vertrag nicht eingehalten
UAKUG/NIM_023,11,1,Datum,1953-05-21,Aufführung,Vertrag nicht eingehalten
UAKUG/NIM_023,11,1,Datum,1953-05-17,Probenbeginn,Vertrag nicht eingehalten
UAKUG/NIM_023,11,1,ort,München,empfangsort,Vertrag nicht eingehalten
UAKUG/NIM_023,11,1,werk,Tristan und Isolde,Aufführung,Vertrag nicht eingehalten
UAKUG/NIM_023,11,1,rolle,Brangäne,Aufführung,Vertrag nicht eingehalten
UAKUG/NIM_023,11,1,einnahmen_währung,"600, Fr.",Gesamtvergütung,Vertrag nicht eingehalten
UAKUG/NIM_023,11,1,ort,Lausanne,vertragsort,Vertrag nicht eingehalten
UAKUG/NIM_023,11,1,Aktivität,Engagement Theatre Municipale de Lausanne,,Vertrag nicht eingehalten
,,,,,,
,,,,,,
,,,,,,
,,,,,,
UAKUG/NIM_016,1,,person,"Malaniuk, Ira",erwähnt,
UAKUG/NIM_016,1,,person,"Baasch, Dr. med. Ernst",verfasser:in,
UAKUG/NIM_016,1,,person,"Borkh, Inge",erwähnt,
UAKUG/NIM_016,1,,Datum,1962-08-31,absendedatum,
UAKUG/NIM_016,1,,Datum,1962-08-29,erwähnt,
UAKUG/NIM_016,1,,ort,"Zürich, Zürichbergstrasse 104",absendeort,
UAKUG/NIM_016,1,,ort,München,empfangsort,
UAKUG/NIM_016,1,,institution,Bayrische Staatsoper,empfänger:in,
UAKUG/NIM_016,2,,person,"Malaniuk, Ira",empfänger:in,
UAKUG/NIM_016,2,,person,"Jaumonet, Leopold",erwähnt,
UAKUG/NIM_016,2,,person,"Wirz, Karl Andreas",verfasser:in,
UAKUG/NIM_016,2,,Datum,1962-09-03,absendedatum,
UAKUG/NIM_016,2,,Datum,1962-09-07,erwähnt,
UAKUG/NIM_016,2,,Datum,1962-09-10,erwähnt,
UAKUG/NIM_016,2,,ort,München,empfangsort,
UAKUG/NIM_016,2,,institution,Bayrischer Rundfunk,Absender:in,
UAKUG/NIM_016,2,,institution,Radio Monte Carlo,erwähnt,
UAKUG/NIM_016,3,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_016,3,,person,"Schröter, Andreas",erwähnt,
UAKUG/NIM_016,3,,person,"Moltkau, Hans",verfasser:in,
UAKUG/NIM_016,3,,Datum,1962-07-10,absendedatum,
UAKUG/NIM_016,3,,Datum,1962-06-27,erwähnt,
UAKUG/NIM_016,3,,Datum,1963-01-13,Aufführung,
UAKUG/NIM_016,3,,Datum,1963-01-12,Generalprobe,
UAKUG/NIM_016,3,,ort,"Zürich, Zürichbergstrasse 104",empfangsort,
UAKUG/NIM_016,3,,ort,München,absendeort,
UAKUG/NIM_016,3,,institution,Bayrischer Rundfunk,Absender:in,
UAKUG/NIM_016,4,,person,"Baasch, Dr. med. Ernst",verfasser:in,
UAKUG/NIM_016,4,,person,"Malaniuk, Ira",erwähnt,
UAKUG/NIM_016,4,,Datum,1962-07-11,absendedatum,
UAKUG/NIM_016,4,,Datum,1962-07-10,erwähnt,
UAKUG/NIM_016,4,,Datum,1963-01-12,Generalprobe,
UAKUG/NIM_016,4,,Datum,1963-01-13,Aufführung,
UAKUG/NIM_016,4,,Datum,1962-07-15,Reisedatum,Rückkehr IM nach Zürich aus Urlaub in Italien
UAKUG/NIM_016,4,,ort,"Zürich, Zürichbergstrasse 104",absendeort,
UAKUG/NIM_016,4,,ort,München,empfangsort,
UAKUG/NIM_016,4,,institution,Bayrischer Rundfunk,empfänger:in,
UAKUG/NIM_016,5,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_016,5,,person,"Schröter, Alfred",verfasser:in,
UAKUG/NIM_016,5,,Datum,1963-08-29,absendedatum,
UAKUG/NIM_016,5,,Datum,1963-01-13,Aufführung,
UAKUG/NIM_016,5,,ort,"Zürich, Zürichbergstrasse 104",empfangsort,
UAKUG/NIM_016,5,,ort,München,absendeort,
UAKUG/NIM_016,5,,institution,Bayrischer Rundfunk,Absender:in,
UAKUG/NIM_016,5,,institution,Deutsches Museum von Meisterwerken der Naturwissenschaft und Technik,veranstalter:in,
UAKUG/NIM_016,5,,ereignis,3. Sonntagskonzert Bayrischer Rundfunk,Aufführung,
UAKUG/NIM_016,6,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_016,6,,person,"Schröter, Alfred",verfasser:in,
UAKUG/NIM_016,6,,Datum,1962-06-13,absendedatum,
UAKUG/NIM_016,6,,Datum,1962-12-08,Generalprobe,keine Teilnahme IMs; 2. Sonntagskonzert Bayrischer Rundfunk
UAKUG/NIM_016,6,,Datum,1962-12-09,Aufführung,keine Teilnahme IMs; 2. Sonntagskonzert Bayrischer Rundfunk
UAKUG/NIM_016,6,,Datum,1963-01-12,Generalprobe,
UAKUG/NIM_016,6,,Datum,1963-01-13,Aufführung,
UAKUG/NIM_016,6,,ort,"Wien, Lehargasse 1",empfangsort,"Pension Schneider, Aufenthalt Malaniuks"
UAKUG/NIM_016,6,,ort,München,absendeort,
UAKUG/NIM_016,6,,ereignis,3. Sonntagskonzert Bayrischer Rundfunk,Aufführung,
UAKUG/NIM_016,6,,institution,Bayrischer Rundfunk,Absender:in,
UAKUG/NIM_016,7,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_016,7,,person,"Schröter, Alfred",verfasser:in,
UAKUG/NIM_016,7,,Datum,1962-06-07,absendedatum,
UAKUG/NIM_016,7,,Datum,1962-12-09,Aufführung,keine Teilnahme IMs; 2. Sonntagskonzert Bayrischer Rundfunk
UAKUG/NIM_016,7,,Datum,1962-12-08,Generalprobe,keine Teilnahme IMs; 2. Sonntagskonzert Bayrischer Rundfunk
UAKUG/NIM_016,7,,ort,"Zürich, Zürichbergstrasse 104",empfangsort,
UAKUG/NIM_016,7,,ort,München,absendeort,
UAKUG/NIM_016,7,,institution,Bayrischer Rundfunk,Absender:in,
UAKUG/NIM_016,8,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_016,8,,person,"Taubman, Martin Hugo",erwähnt,
UAKUG/NIM_016,8,,person,"Mitropoulos, Dimitri",erwähnt,
UAKUG/NIM_016,8,,person,"Mendelssohn Bartholdy, Felix",Komponist:in,
UAKUG/NIM_016,8,,person,"Koch, Karl O. ",verfasser:in,
UAKUG/NIM_016,8,,Datum,1960-09-08,absendedatum,
UAKUG/NIM_022,1_3,,ort,Bayreuth,vertragsort,
UAKUG/NIM_023,2,,ort,Rom,vertragsort,
UAKUG/NIM_023,2,1,Aktivität,Rundfunkaufnahme Radio Italiana Rom,,
UAKUG/NIM_016,8,,Datum,1960-11-21,Aufführung,
UAKUG/NIM_016,8,,Datum,1960-11-18,Probenbeginn,
UAKUG/NIM_016,8,,person,"Reiter, Frau",erwähnt,ohne Vorname; vermutl. Angestellte Westdeutscher Rundfunk
UAKUG/NIM_016,8,,ort,"Zürich, Zürichbergstrasse 104",empfangsort, 
UAKUG/NIM_016,8,,ort,Köln,absendeort,
UAKUG/NIM_016,8,,institution,Westdeutscher Rundfunk,veranstalter:in,
UAKUG/NIM_016,8,,werk,"Elias, op. 70, MWV A 25",Aufführung,
UAKUG/NIM_016,9,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_016,9,,person,"Marszalek, Franz",erwähnt,
UAKUG/NIM_016,9,,Datum,1960-12-30,absendedatum,
UAKUG/NIM_016,9,,Datum,1961-02-06,Aufnahmedatum,
UAKUG/NIM_016,9,,ort,"Zürich, Zürichbergstrasse 104",empfangsort,
UAKUG/NIM_016,9,,ort,Köln,absendeort,
UAKUG/NIM_016,9,,institution,Westdeutscher Rundfunk,Absender:in,
UAKUG/NIM_016,9,,werk,Romanze an Laura,Aufnahme,
UAKUG/NIM_016,9,,werk,Arie der Leonore,Aufnahme,
UAKUG/NIM_016,9,,werk,"Sieh, mein Herz erschliesset sich",Aufnahme,
UAKUG/NIM_016,10,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_016,10,,person,"Wienke, Gerhard",verfasser:in,
UAKUG/NIM_016,10,,Datum,1959-05-12,absendedatum,
UAKUG/NIM_016,10,,Datum,1959-08-15,erwähnt,
UAKUG/NIM_016,10,,ort,"Zürich, Zürichbergstrasse 104",empfangsort,
UAKUG/NIM_016,10,,ort,Stuttgart,absendeort,
UAKUG/NIM_016,10,,institution,Süddeutscher Rundfunk,Absender:in,
UAKUG/NIM_016,10,,werk,Die Favoritin,erwähnt,
UAKUG/NIM_016,11,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_016,11,,person,"Matzerath, Otto",verfasser:in,
UAKUG/NIM_016,11,,Datum,1959-03-11,absendedatum,
UAKUG/NIM_016,11,,Datum,1959-03-09,erwähnt,
UAKUG/NIM_016,11,,ort,"Zürich, Zürichbergstrasse 104",empfangsort,
UAKUG/NIM_016,11,,ort,Frankfurt,absendeort,
UAKUG/NIM_016,11,,werk,Messiah,erwähnt,
UAKUG/NIM_016,11,,institution,Hessischer Rundfunk,Absender:in,
UAKUG/NIM_016,12,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_016,12,,person,"Müller-Kray, Hans",verfasser:in,
UAKUG/NIM_016,12,,Datum,1959-01-07,absendedatum,
UAKUG/NIM_016,12,,ort,Wien,empfangsort,
UAKUG/NIM_016,12,,ort,Stuttgart,absendeort,
UAKUG/NIM_016,12,,institution,Süddeutscher Rundfunk,Absender:in,
UAKUG/NIM_016,12,,institution,Staatsoper Wien,empfänger:in,
UAKUG/NIM_016,12,,werk,Die Favoritin,erwähnt,
UAKUG/NIM_016,13,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_016,13,,person,Rüger,verfasser:in,"Vorname fehlt, Mitarbeiter Süddeutscher Rundfunk"
UAKUG/NIM_016,13,,Datum,1958-10-09,absendedatum,
UAKUG/NIM_016,13,,institution,Süddeutscher Rundfunk,Absender:in,
UAKUG/NIM_016,13,,ort,"Zürich, Zürichbergstrasse 104",empfangsort,
UAKUG/NIM_016,13,,werk,Requiem,Ausstrahlung,Wolfgang Amadeus Mozart
UAKUG/NIM_016,13,,einnahmen_währung,"125, DM",Abspielhonorar,
UAKUG/NIM_016,14,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_016,14,,person,"Müller-Kray, Hans",erwähnt,
UAKUG/NIM_016,14,,ereignis,Konzert Ottobeuren,Aufführung,
UAKUG/NIM_016,14,,ort,Ottobeuern,abreiseort,
UAKUG/NIM_016,14,,ort,Stuttgart,zielort,
UAKUG/NIM_016,14,,ort,Zürich,zielort,
UAKUG/NIM_016,14,,ort,München,abreiseort,
UAKUG/NIM_016,14,,ort,Ottobeuren,zielort,
UAKUG/NIM_016,14,,Datum,1958-06-18,absendedatum,
UAKUG/NIM_016,14,,Datum,1958-06-21,Aufführung,
UAKUG/NIM_016,14,,Datum,1958-06-22,Generalprobe,
UAKUG/NIM_016,14,,ereignis,Konzert in München,Aufführung,
UAKUG/NIM_016,14,,institution,Süddeutscher Rundfunk,Absender:in,
UAKUG/NIM_016,14,,ort,"Zürich, Zürichbergstrasse 104",empfangsort,
UAKUG/NIM_016,15,,person,"Malaniuk, Ira",erwähnt,
UAKUG/NIM_016,15,,person,"Müller-Kray, Hans",verfasser:in,
UAKUG/NIM_016,15,,person,"Taubman, Martin Hugo",adressat:in,
UAKUG/NIM_016,15,,Datum,1958-06-16,absendedatum,
UAKUG/NIM_016,15,,Datum,1958-06-22,Aufführung,
UAKUG/NIM_016,15,,Datum,1958-06-21,Generalprobe,
UAKUG/NIM_016,15,,ort,Wien,empfangsort,
UAKUG/NIM_016,15,,ort,Ottobeuren,auffuehrungsort,
UAKUG/NIM_016,15,,ort,Stuttgart,erwähnt,
UAKUG/NIM_016,15,,ort,München,erwähnt,
UAKUG/NIM_016,15,,institution,Süddeutscher Rundfunk,Absender:in,
UAKUG/NIM_016,15,,ereignis,Konzert Ottobeuren,Aufführung,
UAKUG/NIM_016,16,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_016,16,,person,"Taubman, Martin Hugo",erwähnt,
UAKUG/NIM_016,16,,person,"Linssen, Josef",verfasser:in,Vorname erschlossen
UAKUG/NIM_016,16,,person,"Kuthe, C.",verfasser:in,kein Vorname erschließbar
