 ,Folio,data_id,typ,name,rolle,anmerkung
UAKUG/NIM_142,22_18,,"Rolle, Person","Matelot, Paul Kuën",auftritt,
UAKUG/NIM_142,22_18,,rolle,Isolde,auftritt,
UAKUG/NIM_142,22_18,,"Rolle, Person","Isolde, Martha Mödl",auftritt,
UAKUG/NIM_142,22_18,,rolle,Brangäne,auftritt,
UAKUG/NIM_142,22_18,,"Rolle, Person","Brangäne, Ira Malaniuk",auftritt,
UAKUG/NIM_142,22_18,,person,"Mödl, Martha",sänger:in,
UAKUG/NIM_142,22_18,,person,"Malaniuk, Ira",sänger:in,
UAKUG/NIM_142,22_18,,person,"Windgassen, Wolfgang",sänger:in,
UAKUG/NIM_142,22_18,,person,"Greindl, Josef",sänger:in,
UAKUG/NIM_142,22_18,,person,"Neidlinger, Gustav",sänger:in,
UAKUG/NIM_142,22_18,,person,"Blankenheim, Toni",sänger:in,
UAKUG/NIM_142,22_18,,person,"Stolze, Gerhard",sänger:in,
UAKUG/NIM_142,22_18,,person,"Kuën, Paul",sänger:in,
UAKUG/NIM_142,22_18,,ort,Brüssel,Aufführung,
UAKUG/NIM_142,22_18,,person,"Pitz, Wilhelm",dirigent:in,
UAKUG/NIM_142,22_18,,person,"Wissner, Otto",bühnenbildner:in,
UAKUG/NIM_142,22_18,,person,"Eberhardt, Paul",Beleuchter:in,
UAKUG/NIM_142,22_18,,person,"Thiel, Fred",Kostümbildner:in,
UAKUG/NIM_142,22_18,,person,"Klose, Willi",Maskenbidner:in,
UAKUG/NIM_142,22_18,,person,"Crampe, Fernand",bühnenbildner:in,
UAKUG/NIM_142,22_18,,person,"Simon, Théo",technische leitung,
UAKUG/NIM_142,27,,person,"Mödl, Martha",sänger:in,
UAKUG/NIM_142,27,,person,"Malaniuk, Ira",sänger:in,
UAKUG/NIM_142,27,,person,"Windgassen, Wolfgang",sänger:in,
UAKUG/NIM_142,27,,person,"Greindl, Josef",sänger:in,
UAKUG/NIM_142,27,,person,"Neidlinger, Gustav",sänger:in,
UAKUG/NIM_142,27,,person,"Blankenheim, Toni",sänger:in,
UAKUG/NIM_142,27,,person,"Stolze, Gerhard",sänger:in,
UAKUG/NIM_142,27,,person,"Kuën, Paul",sänger:in,
