1,archivsignatur,folio nr,titel,entstehungsdatum,datierungsevidenz,dokumenttyp,sprache,umfang,bearbeiter:in,erfassungsdatum,Bearbeitungsstand,Objekttabelle,Verknüpfungstabelle,Werkindex,Ortsindex,Organisationsindex,Personenindex
1,UAKUG/NIM_004,24,Kurzbiografie  von Ira Malaniuk als Typoscript (vermutlich als Anhang eines Briefes) ,,unbekannt,autobiografie,de,"1 Blatt, 1 Seite",SSL,2026-02-12,begonnen,,,,,,
1,UAKUG/NIM_004,25,NCAC Newsletter über Künstler:innen (Ira Malaniuk - Hugh Thompson),1958-04-09,aus_dokument,Typoskript,en,"1 Blatt, 1 Seite",CN,2026-02-12,Erledigt (Ira Malaniuk betreffend. Rest zurückgestellt),,,,,,
1,UAKUG/NIM_004,26,Rezension von Herbert Kupferberg zu Mozarts Requiem und Schuberts Messe in Es-Dur mit Ira Malaniuk,1959-01-02,aus_dokument,rezension,en,"1 Blatt, 1 Seite",QH,2026-02-17,begonnen,,,,,,
1,UAKUG/NIM_004,27,Brief von Margaret Snider an Ira Malaniuk vom 27.10.1959,1959-10-27,aus_dokument,korrespondenz,en,"1 Blatt, 1 Seite",NKS,2026-02-12,vollständig,,,,,,
1,UAKUG/NIM_004,28,NCAC Newsletter über Aktivitäten von div. Künstler:innen page 2 (Adele Addison-Ilona Kombrink),,aus_dokument,Typoskript,en,"1 Blatt, 1 Seite",NKS,2026-02-12,,,,,,,
1,UAKUG/NIM_004,29,Memorandum von Dr. Henry W. levinger (vermutlich eine Kopie von Malaniuk 004_24),,unbekannt,biographie,en,"1 Blatt, 2 Seite",QH,2026-02-12,begonnen,,,,,,
1,UAKUG/NIM_004,30,Liste des Opernrepertoires von Ira Malaniuk mit persönlichem Stempel,,unbekannt,repertoireliste,de,"1 Blatt, 1 Seite",NML,2026-02-12,abgeschlossen,,,,,,
1,UAKUG/NIM_004,31,Rezension von Laurent Savelli zu Der Rosenkavalier in der Opéra de Monte-Carlo,,unbekannt,rezension,fr,"1 Blatt, 1 Seite",CN,2026-02-13,begonnen,,,,,,
1,UAKUG/NIM_004,32,Rezension zu der Oper Capriccio,,unbekannt,rezension,de,"1 Blatt, 1 Seite",QH,2026-02-17,begonnen,,,,,,
1,UAKUG/NIM_004,33,Rezension von Harald Kaufmann über Orchesterkonzert unter Caridis in Graz,,unbekannt,rezension,de,"1 Blatt, 1 Seite",SSL,2026-02-17,vollständig,,,,,,
1,UAKUG/NIM_004,34,Rezension über Altistinnen der Wiener Opernbühne,06-09,aus_dokument,presse,de,"1 Blatt, 1 Seite",SSL,2026-02-17,begonnen (nur Ira Malaniuk),,,,,,
1,UAKUG/NIM_005,folio,Tätigkeitslisten,,,sammlung,,,,2026-02-11,begonnen,,,,,,
1,UAKUG/NIM_005,1,"Grünes Deckblatt mit Aufschrift ""Abschriften der Listen""",ohne Datum,unbekannt,sammlung,de,"1 Blatt, 1 Seite",NML,2026-05-26,,,,,,,
1,UAKUG/NIM_005,2,Handschriftliche Tätigkeitsliste 1924/25 bis 1949/50,ohne Datum,unbekannt,notiz,de,"1 Blatt, 1 Seite",NML,2026-05-26,,,,,,,
1,UAKUG/NIM_005,3,Handschriftliche Tätigkeitsliste 1949 bis 1954,ohne Datum,unbekannt,notiz,de,"1 Blatt, 1 Seite",NML,2026-05-26,,,,,,,
1,UAKUG/NIM_005,4,Handschriftliche Tätigkeitsliste 1952 bis 1963/64,ohne Datum,unbekannt,notiz,de,"1 Blatt, 1 Seite",NML,2026-05-26,,,,,,,
1,UAKUG/NIM_005,5,Handschriftliche Tätigkeitsliste 1953 bis 1954,ohne Datum,unbekannt,notiz,de,"1 Blatt, 1 Seite",NML,2026-05-26,,,,,,,
1,UAKUG/NIM_005,6,Handschriftliche Tätigkeitsliste 1955,ohne Datum,unbekannt,notiz,de,"1 Blatt, 1 Seite",NML,2026-05-26,,,,,,,
1,UAKUG/NIM_005,7,Handschriftliche Tätigkeitsliste 1955 bis 1956,ohne Datum,unbekannt,notiz,de,"1 Blatt, 1 Seite",NML,2026-05-26,,,,,,,
1,UAKUG/NIM_005,8,Handschriftliche Tätigkeitsliste 1956 bis 1957,ohne Datum,unbekannt,notiz,de,"1 Blatt, 1 Seite",NML,2026-05-26,,,,,,,
1,UAKUG/NIM_005,9,Handschriftliche Tätigkeitsliste 1957 bis 1958,ohne Datum,unbekannt,notiz,de,"1 Blatt, 1 Seite",NML,2026-05-26,,,,,,,
1,UAKUG/NIM_005,10,Handschriftliche Tätigkeitsliste 1958 bis 1959,ohne Datum,unbekannt,notiz,de,"1 Blatt, 1 Seite",NML,2026-05-26,,,,,,,
